Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
Alan ,The Godfather: Part II,thumb,,3,PS5,2022-12-13 03:32:47,
Alan ,Taxi Driver,thumb,,1,Smart TV,2022-12-06 05:22:45,
Alan ,Forrest Gump,thumb,,3,Smart TV,2022-12-05 04:52:34,
Alan ,Enola Holmes 2,thumb,,2,Smart TV,2022-11-10 03:28:44,
Alan ,The Redeem Team,thumb,,3,Smart TV,2022-10-18 00:26:32,
Alan ,Top Gun,thumb,,3,Android Phone,2022-10-05 02:37:18,
Alan ,Vicky and Her Mystery,thumb,,3,Android Phone,2022-09-30 05:10:42,
Alan ,The Mummy,thumb,,3,Smart TV,2022-09-14 03:17:18,
Alan ,Day Shift,thumb,,3,Android Phone,2022-09-07 01:53:46,
Alan ,Suits,thumb,,3,Smart TV,2022-08-07 06:03:02,
Alan ,Halloween 4: The Return of Michael Myers,thumb,,3,Smart TV,2022-07-31 18:29:09,
Alan ,Resident Evil,thumb,,0,HTML 5,2022-07-29 04:02:26,
Alan ,Sex Education,thumb,,0,HTML 5,2022-07-08 13:31:48,
Alan ,Sleepers,thumb,,3,HTML 5,2022-07-08 13:31:06,
Alan ,ONE PIECE,thumb,,3,HTML 5,2022-07-08 13:28:19,
Alan ,Halloween II,thumb,,3,HTML 5,2022-07-08 12:55:08,
Alan ,Rambo: Last Blood,thumb,,3,Smart TV,2022-06-11 10:10:38,
Alan ,One Piece Film Z,thumb,,1,Android Phone,2022-05-16 02:31:08,
Alan ,"One Piece: Episode of Chopper: Bloom in the Winter, Miracle Sakura",thumb,,3,Smart TV,2022-04-14 02:33:54,
Alan ,Vikings,thumb,,3,Smart TV,2022-04-12 01:03:42,
Alan ,One Piece Film: Strong World,thumb,,2,Smart TV,2022-04-04 03:50:03,
Alan ,The Cuphead Show!,thumb,,2,Android Phone,2022-04-04 02:32:02,
Alan ,John Wick: Chapter 2,thumb,,2,Smart TV,2022-04-02 03:22:50,
Alan ,Don't Look Up,thumb,,2,Smart TV,2022-02-09 02:31:18,
Alan ,Fast & Furious Presents: Hobbs & Shaw,thumb,,1,Android Phone,2022-01-13 02:45:04,
Alan ,Tiger King,thumb,,1,Android Phone,2021-12-16 00:43:58,
Alan ,Money Heist,thumb,,2,Android Phone,2021-12-16 00:43:52,
Alan ,To the Bone,thumb,,2,Smart TV,2021-11-18 02:20:09,
Alan ,After Earth,thumb,,2,Android Phone,2021-11-17 03:35:46,
Alan ,Halloween,thumb,,2,Smart TV,2021-10-24 04:33:17,
Alan ,Bram Stoker's Dracula,thumb,,2,Smart TV,2021-09-22 01:00:04,
Alan ,Ghost Killers vs Bloody Mary,thumb,,2,Android Phone,2021-08-22 00:41:49,
Alan ,Creed,thumb,,2,Smart TV,2021-08-14 05:05:14,
Alan ,Untold: Malice at the Palace,thumb,,2,Android Phone,2021-08-12 03:22:38,
Alan ,Rocky Balboa,thumb,,2,Smart TV,2021-07-22 03:17:48,
Alan ,Rocky V,thumb,,2,Smart TV,2021-07-20 03:46:51,
Alan ,Overlord,thumb,,1,Smart TV,2021-07-14 03:05:15,
Alan ,The Water Man,thumb,,2,Smart TV,2021-07-13 03:14:16,
Alan ,The Alienist,thumb,,2,Android Phone,2021-07-13 01:39:25,
Alan ,47 Ronin,thumb,,2,Android Phone,2021-07-13 01:38:56,
Alan ,Resident Evil: Degeneration,thumb,,1,Smart TV,2021-06-20 03:05:00,
Alan ,Rambo: First Blood Part II,thumb,,2,Smart TV,2021-05-24 05:14:17,
Alan ,Shadow and Bone,thumb,,1,Android Phone,2021-05-09 01:46:24,
Alan ,Halloween,thumb,,2,Smart TV,2021-05-04 03:25:47,
Alan ,Run,thumb,,2,Android Phone,2021-04-15 03:16:05,
Alan ,Replicas,thumb,,2,Smart TV,2021-04-11 04:46:11,
Alan ,Dolly Parton: A MusiCares Tribute,thumb,,2,Android Phone,2021-04-11 03:03:23,
Alan ,The White Tiger,thumb,,2,Smart TV,2021-04-08 02:36:30,
Alan ,Rambo: First Blood,thumb,,2,Smart TV,2021-04-05 02:12:24,
Alan ,Spenser Confidential,thumb,,2,Android Phone,2021-04-05 01:08:18,
Alan ,Mad Max: Fury Road,thumb,,2,Android Phone,2021-03-20 18:55:47,
