Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Alan ,BR,Android Phone,0,john wi,John Wick: Chapter 2,select,title_results,2022-12-09 01:47:21
Alan ,BR,Android Phone,0,,Top Gun,select,prequery_results,2022-10-05 02:37:10
Alan ,BR,Android Phone,0,victoria,Vicky and Her Mystery,play,title_results,2022-09-30 05:09:59
Alan ,BR,Android Phone,0,victoria,Vicky and Her Mystery,play,title_results,2022-09-30 04:28:14
Alan ,BR,Android Phone,0,victoria,Vicky and Her Mystery,add,title_results,2022-09-30 04:28:09
Alan ,BR,Android Phone,0,victoria,Vicky and Her Mystery,select,title_results,2022-09-30 04:28:05
Alan ,BR,Android Phone,0,eu me impo,I Care a Lot,add,title_results,2022-08-21 10:46:50
Alan ,BR,Android Phone,0,eu me impo,I Care a Lot,select,title_results,2022-08-21 10:46:47
Alan ,BR,Android Phone,0,the wit,,select,title_results,2022-08-17 02:39:40
Alan ,BR,Android Phone,0,,,select,prequery_results,2022-08-04 02:29:20
Alan ,BR,Android Phone,0,sui,,add,title_results,2022-07-11 17:41:32
Alan ,BR,Android Phone,0,sui,,select,title_results,2022-07-11 17:41:29
Alan ,BR,HTML 5,0,dos inocentes,The Silence of the Lambs,select,suggestion_results,2022-07-08 13:30:43
Alan ,BR,HTML 5,0,dos inocentes,The Silence of the Lambs,select,suggestion_results,2022-07-08 13:30:43
Alan ,BR,Android Phone,0,sogra que ,,select,title_results,2022-06-23 02:48:42
Alan ,BR,Android Phone,0,sogra que ,,add,title_results,2022-06-23 02:48:37
Alan ,BR,Android Phone,0,sogra que ,,select,title_results,2022-06-23 02:48:34
Alan ,BR,Android Phone,0,arreme,Hustle,play,title_results,2022-06-12 09:43:07
Alan ,BR,Android Phone,0,arreme,Hustle,select,title_results,2022-06-12 09:43:02
Alan ,BR,Android Phone,0,detroit rock,Metal Lords,select,title_results,2022-04-28 05:07:23
Alan ,BR,Android Phone,0,one piece,,select,title_results,2022-04-04 02:31:53
Alan ,BR,Android Phone,0,one piece,One Piece Film Z,add,title_results,2022-04-04 02:31:48
Alan ,BR,Android Phone,0,one piece,One Piece Film Z,select,title_results,2022-04-04 02:31:42
Alan ,BR,Android Phone,0,one piece,"One Piece: Episode of Chopper: Bloom in the Winter, Miracle Sakura",add,title_results,2022-04-04 02:31:37
Alan ,BR,Android Phone,0,one piece,"One Piece: Episode of Chopper: Bloom in the Winter, Miracle Sakura",select,title_results,2022-04-04 02:31:31
Alan ,BR,Android Phone,0,one piece,One Piece: Episode of Alabasta,add,title_results,2022-04-04 02:31:26
Alan ,BR,Android Phone,0,one piece,One Piece: Episode of Alabasta,select,title_results,2022-04-04 02:31:23
Alan ,BR,Android Phone,0,one piece,One Piece Film: Strong World,select,title_results,2022-04-04 02:31:17
Alan ,BR,Android Phone,0,one piece,,select,title_results,2022-04-04 02:31:14
Alan ,BR,Android Phone,0,one piece,,select,title_results,2022-04-04 02:31:06
Alan ,BR,Android Phone,0,attack,,select,title_results,2022-01-14 01:38:50
Alan ,BR,Android Phone,0,attack,,select,title_results,2022-01-14 01:38:47
Alan ,BR,Android Phone,0,attack,,select,title_results,2022-01-14 01:38:44
Alan ,BR,Android Phone,0,attack,Attack on Titan: Part 2,select,title_results,2022-01-14 01:38:34
Alan ,BR,Android Phone,0,attack,Attack on Titan: Part 1,select,title_results,2022-01-14 01:38:20
Alan ,BR,Android Phone,0,attack,Attack on Titan: Part 2,select,title_results,2022-01-14 01:38:17
Alan ,BR,Android Phone,0,attack,Attack on Titan: Part 1,select,title_results,2022-01-14 01:38:16
Alan ,BR,Android Phone,0,attack,Attack on Titan: Part 2,select,title_results,2022-01-14 01:38:07
Alan ,BR,Android Phone,0,attack,Attack on Titan: Part 1,select,title_results,2022-01-14 01:38:04
Alan ,BR,Smart TV,0,maf,,play,title_results,2021-11-23 04:02:05
Alan ,BR,Smart TV,0,maf,,add,title_results,2021-11-23 04:02:00
Alan ,BR,Smart TV,0,maf,,select,title_results,2021-11-23 04:01:50
Alan ,BR,Android Phone,0,rampage,After Earth,add,title_results,2021-10-10 23:56:52
Alan ,BR,Android Phone,0,rampage,After Earth,select,title_results,2021-10-10 23:56:45
Alan ,BR,Android Phone,0,os exter,Ghost Killers vs Bloody Mary,add,title_results,2021-08-19 02:22:19
Alan ,BR,Android Phone,0,os exter,Ghost Killers vs Bloody Mary,select,title_results,2021-08-19 02:22:09
Alan ,BR,Android Phone,0,the wi,,select,title_results,2021-08-12 02:15:59
Alan ,BR,Smart TV,0,excel,The Minimalists: Less Is Now,select,title_results,2021-06-29 01:17:26
Alan ,BR,Android Phone,0,,Run,add,,2021-04-11 03:05:43
Alan ,BR,Android Phone,0,,Run,select,,2021-04-11 03:05:27
Alan ,BR,Android Phone,0,keanu r,The Dark Tower,select,,2021-04-10 13:13:05
Alan ,BR,Android Phone,0,keanu r,To the Bone,add,,2021-04-10 13:13:01
Alan ,BR,Android Phone,0,keanu r,To the Bone,select,,2021-04-10 13:12:56
Alan ,BR,Android Phone,0,keanu r,Replicas,add,,2021-04-10 13:12:52
Alan ,BR,Android Phone,0,keanu r,Replicas,select,,2021-04-10 13:12:46
Alan ,BR,Android Phone,0,one pie,,select,,2021-04-10 03:51:30
Alan ,BR,Android Phone,0,tigre branco,The White Tiger,add,,2021-04-05 23:13:49
Alan ,BR,Android Phone,0,tigre branco,The White Tiger,select,,2021-04-05 23:13:40
Alan ,BR,Android Phone,0,maek,Spenser Confidential,play,,2021-04-05 00:21:31
