Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Alan ,2022-12-15 17:56:53,Multichannel Continue Watching,NOTIFICATIONS,BR,,,All Quiet on the Western Front,GMAIL.COM,,,--,0
Alan ,2022-12-15 17:55:19,Multichannel Continue Watching,PUSH,BR,pt-BR,pt-BR,All Quiet on the Western Front,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-15 17:55:19,Multichannel Continue Watching,PUSH,BR,pt-BR,pt-BR,All Quiet on the Western Front,GMAIL.COM,,,asus_ASUS_X00QD,0
Alan ,2022-12-14 19:22:56,PUSH_CONTENT_LEAVING_THE_SERVICE,PUSH,BR,pt-BR,pt-BR,Last Knights,GMAIL.COM,,,asus_ASUS_X00QD,0
Alan ,2022-12-14 19:22:56,Inapp Content Leaving The Service,NOTIFICATIONS,BR,pt-BR,,Last Knights,GMAIL.COM,,,--,0
Alan ,2022-12-14 19:22:56,PUSH_CONTENT_LEAVING_THE_SERVICE,PUSH,BR,pt-BR,pt-BR,Last Knights,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-13 15:57:20,PUSH_COMEDY_FEED_RE_ENGAGEMENT,PUSH,BR,pt-BR,pt-BR,,GMAIL.COM,,,asus_ASUS_X00QD,0
Alan ,2022-12-13 15:57:20,PUSH_COMEDY_FEED_RE_ENGAGEMENT,PUSH,BR,pt-BR,pt-BR,,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-13 15:25:27,Multichannel Watch It Again,PUSH,BR,pt-BR,pt-BR,Grown Ups,GMAIL.COM,,,asus_ASUS_X00QD,0
Alan ,2022-12-13 15:25:27,Multichannel Watch It Again,NOTIFICATIONS,BR,,,Grown Ups,GMAIL.COM,,,--,0
Alan ,2022-12-13 15:25:27,Multichannel Watch It Again,PUSH,BR,pt-BR,pt-BR,Grown Ups,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-13 12:18:37,Inapp Comedy Feed Re Engagement,NOTIFICATIONS,BR,pt-BR,,,GMAIL.COM,,,--,0
Alan ,2022-12-13 03:31:47,New Device Login,EMAIL,BR,pt-BR,pt-BR,,GMAIL.COM,,,--,0
Alan ,2022-12-12 15:10:21,PUSH_UNBRANDED_PREPROMOTE,PUSH,BR,pt-BR,pt-BR,Blood Ties,GMAIL.COM,,,asus_ASUS_X00QD,0
Alan ,2022-12-12 15:10:21,PUSH_UNBRANDED_PREPROMOTE,PUSH,BR,pt-BR,pt-BR,Blood Ties,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-09 16:09:16,PUSH_UNBRANDED_PREPROMOTE,PUSH,BR,pt-BR,pt-BR,Doctor G,GMAIL.COM,,,asus_ASUS_X00QD,0
Alan ,2022-12-09 16:09:16,PUSH_UNBRANDED_PREPROMOTE,PUSH,BR,pt-BR,pt-BR,Doctor G,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-07 15:42:24,PUSH_ORIGINALS_PREPROMOTE,PUSH,BR,pt-BR,pt-BR,Dragon Age: Absolution,GMAIL.COM,,,asus_ASUS_X00QD,0
Alan ,2022-12-07 15:42:24,PUSH_ORIGINALS_PREPROMOTE,PUSH,BR,pt-BR,pt-BR,Dragon Age: Absolution,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-07 09:52:48,Inapp Originals Prepromote,NOTIFICATIONS,BR,pt-BR,,Dragon Age: Absolution,GMAIL.COM,,,--,0
Alan ,2022-12-06 16:29:12,PUSH_NEW_ARRIVALS,PUSH,BR,pt-BR,pt-BR,The Boss Baby: Christmas Bonus,GMAIL.COM,,,asus_ASUS_X00QD,0
Alan ,2022-12-06 16:29:12,PUSH_NEW_ARRIVALS,PUSH,BR,pt-BR,pt-BR,The Boss Baby: Christmas Bonus,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-05 15:59:30,PUSH_NEW_ARRIVALS,PUSH,BR,pt-BR,pt-BR,Warriors of Future,GMAIL.COM,,,asus_ASUS_X00QD,0
Alan ,2022-12-05 15:59:30,PUSH_NEW_ARRIVALS,PUSH,BR,pt-BR,pt-BR,Warriors of Future,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-05 12:11:28,Inapp New Arrivals,NOTIFICATIONS,BR,pt-BR,,Warriors of Future,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-04 19:14:06,Multichannel Continue Watching,NOTIFICATIONS,BR,,,All Quiet on the Western Front,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-04 15:13:25,Multichannel Continue Watching,NOTIFICATIONS,BR,,,All Quiet on the Western Front,GMAIL.COM,,,--,0
Alan ,2022-12-04 15:11:21,Multichannel Continue Watching,PUSH,BR,pt-BR,pt-BR,All Quiet on the Western Front,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-04 15:11:21,Multichannel Continue Watching,PUSH,BR,pt-BR,pt-BR,All Quiet on the Western Front,GMAIL.COM,,,asus_ASUS_X00QD,0
Alan ,2022-12-03 15:50:27,PUSH_NEW_ARRIVALS,PUSH,BR,pt-BR,pt-BR,Troll,GMAIL.COM,,,asus_ASUS_X00QD,0
Alan ,2022-12-03 15:50:27,PUSH_NEW_ARRIVALS,PUSH,BR,pt-BR,pt-BR,Troll,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-12-03 12:21:15,Inapp New Arrivals,NOTIFICATIONS,BR,pt-BR,,Troll,GMAIL.COM,,,--,0
Alan ,2022-11-30 16:46:38,PUSH_ORIGINALS_PREPROMOTE,PUSH,BR,pt-BR,pt-BR,Warriors of Future,GMAIL.COM,,,LGE_LG-M320,0
Alan ,2022-11-30 16:46:38,Inapp Originals Prepromote,NOTIFICATIONS,BR,pt-BR,,Warriors of Future,GMAIL.COM,,,--,0
Alan ,2022-11-30 16:46:38,PUSH_ORIGINALS_PREPROMOTE,PUSH,BR,pt-BR,pt-BR,Warriors of Future,GMAIL.COM,,,asus_ASUS_X00QD,0
