Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Adilan,2022-12-20 17:47:21,00:00:01,,Vulcão Whakaari: Resgate na Nova Zelândia,,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:01,00:00:01,BR (Brazil)
Adilan,2022-12-20 17:47:14,00:00:01,Autoplayed: user action: User_Interaction; ,Vulcão Whakaari: Resgate na Nova Zelândia,,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:01,Not latest view,BR (Brazil)
Adilan,2022-12-20 01:55:08,00:00:01,,Vulcão Whakaari: Resgate na Nova Zelândia,,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:01,Not latest view,BR (Brazil)
Adilan,2022-12-20 01:54:49,00:00:15,Autoplayed: user action: None; ,Trailer: Vulcão Whakaari: Resgate na Nova Zelândia,TRAILER,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:15,00:00:15,BR (Brazil)
Adilan,2022-12-19 17:06:31,01:57:41,,Mais Forte que o Mundo - A História de José Aldo,,Samsung CE 2020 Kant-S2 DTV Smart TV,01:56:58,01:56:58,BR (Brazil)
Adilan,2022-12-19 17:05:20,00:00:04,Autoplayed: user action: None; ,Teaser 2: O Troll da Montanha,TEASER_TRAILER,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:04,00:00:04,BR (Brazil)
Adilan,2022-12-19 17:04:55,00:00:11,Autoplayed: user action: None; ,Temporada 2 (Trailer): Noite Adentro,TRAILER,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:11,00:00:11,BR (Brazil)
Adilan,2022-12-19 17:04:39,00:00:06,Autoplayed: user action: None; ,Seventh Son - CLM 7,HOOK,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:06,00:00:06,BR (Brazil)
Adilan,2022-12-19 17:04:21,00:00:06,,Sandman: Temporada 1: O sono dos justos (Episódio 1),,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:06,00:00:06,BR (Brazil)
Adilan,2022-12-19 17:04:10,00:00:07,Autoplayed: user action: None; ,Temporada 1 (Clipe): Sandman,HOOK,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:07,00:00:07,BR (Brazil)
Adilan,2022-12-19 03:03:02,00:00:15,Autoplayed: user action: None; ,Code 8_hook_01_16x9,HOOK,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:15,00:00:15,BR (Brazil)
Adilan,2022-12-18 06:25:14,00:17:39,Autoplayed: user action: User_Interaction; ,Brightburn: Filho das Trevas,,Samsung CE 2020 Kant-S2 DTV Smart TV,00:17:39,00:17:39,BR (Brazil)
Adilan,2022-12-18 06:23:53,00:00:05,Autoplayed: user action: None; ,Um Homem de Ação (Clipe): Um Homem de Ação,HOOK,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:05,00:00:05,BR (Brazil)
Adilan,2022-12-18 06:23:33,00:00:05,Autoplayed: user action: None; ,Temporada 1 (Clipe 2): Longe Demais,HOOK,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:05,00:00:05,BR (Brazil)
Adilan,2022-12-18 06:22:59,00:00:09,Autoplayed: user action: None; ,Parte 3 (Teaser): Lupin,TRAILER,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:09,00:00:09,BR (Brazil)
Adilan,2022-12-18 06:22:40,00:00:04,Autoplayed: user action: None; ,Minissérie (Trailer): Caleidoscópio,TRAILER,Samsung CE 2020 Kant-S2 DTV Smart TV,00:00:04,00:00:04,BR (Brazil)
